Database,Credit,Table,CreditCatalogGLs
"CatalogCode","SysAccountName","COAAccount","AccountAlias","Id"
"CHL1MMK017","PROV_CR4","","###4050801010005**","415"
"CHL1MMK017","PROV_DR_RVS0","","###2050101000001**","416"
"CHL1MMK017","PROV_DR_RVS1","","###2050201000001**","417"
"CHL1MMK017","PROV_DR_RVS2","","###2050201000002**","418"
"CHL1MMK017","PROV_DR_RVS3","","###2050201000003**","419"
"CHL1MMK017","PROV_DR_RVS4","","###2050201000004**","420"
"CHL1MMK017","CREDIT0","","###4050402010001**","421"
"CHL1MMK017","CREDIT1","","###4050402010002**","422"
"CHL1MMK017","CREDIT2","","###4050402010003**","423"
"CHL1MMK017","CREDIT3","","###4050402010004**","424"
"CHL1MMK017","CREDIT4","","###4050402010005**","425"
"STPLMMK018","CREDIT0","","###4050402010001**","426"
"STPLMMK018","CREDIT1","","###4050402010002**","427"
"STPLMMK018","CREDIT2","","###4050402010003**","428"
"STPLMMK018","CREDIT3","","###4050402010004**","429"
"STPLMMK018","CREDIT4","","###4050402010005**","430"
"STPLMMK018","PROV_CR_RVS0","","###4050803010001**","431"
"STPLMMK018","PROV_CR_RVS1","","###4050803010002**","432"
"STPLMMK018","PROV_CR_RVS2","","###4050803010003**","433"
"STPLMMK018","PROV_CR_RVS3","","###4050801010004**","434"
"STPLMMK018","PROV_CR_RVS4","","###4050801010005**","435"
"STPLMMK018","PROV_CR0","","###4050803010001**","436"
"STPLMMK018","PROV_CR1","","###4050803010002**","437"
"STPLMMK018","PROV_CR2","","###4050803010003**","438"
"STPLMMK018","PROV_CR3","","###4050801010004**","439"
"STPLMMK018","PROV_CR4","","###4050801010005**","440"
"STPLMMK018","PROV_DR_RVS0","","###2050101000001**","441"
"STPLMMK018","PROV_DR_RVS1","","###2050201000001**","442"
"STPLMMK018","PROV_DR_RVS2","","###2050201000002**","443"
"STPLMMK018","PROV_DR_RVS3","","###2050201000003**","444"
"STPLMMK018","PROV_DR_RVS4","","###2050201000004**","445"
"STPLMMK018","PROV_DR0","","###2050101000001**","446"
"STPLMMK018","PROV_DR1","","###2050201000001**","447"
"STPLMMK018","PROV_DR2","","###2050201000002**","448"
"STPLMMK018","PROV_DR3","","###2050201000003**","449"
"STPLMMK018","PROV_DR4","","###2050201000004**","450"
"HPA3MMK019","CREDIT0","","###4050402010001**","451"
"HPA3MMK019","CREDIT1","","###4050402010002**","452"
"HPA3MMK019","CREDIT2","","###4050402010003**","453"
"HPA3MMK019","CREDIT3","","###4050402010004**","454"
"HPA3MMK019","CREDIT4","","###4050402010005**","455"
"HPA3MMK019","PROV_CR_RVS0","","###4050803010001**","456"
"HPA3MMK019","PROV_CR_RVS1","","###4050803010002**","457"
"HPA3MMK019","PROV_CR_RVS2","","###4050803010003**","458"
"HPA3MMK019","PROV_CR_RVS3","","###4050801010004**","459"
"HPA3MMK019","PROV_CR_RVS4","","###4050801010005**","460"
"HPA3MMK019","PROV_CR0","","###4050803010001**","461"
"HPA3MMK019","PROV_CR1","","###4050803010002**","462"
"HPA3MMK019","PROV_CR2","","###4050803010003**","463"
"HPA3MMK019","PROV_CR3","","###4050801010004**","464"
"HPA3MMK019","PROV_CR4","","###4050801010005**","465"
